,dates,texts
233,1515329541.0,"ZEC is staircase down and rocket up. ? 
Not the other way around.
https://t.co/IRgekdHWnW"
234,1515329625.0,RT @cryptoboater: I'm still of the opinion that btc will see a short term correction and we also see a short term alt bounce. they still wi…
235,1515329716.0,"DADI final thoughts:
# Def my confidence in that ico is shaky now. 
# So my strategy? Wait for an exchange listing… https://t.co/ic2IW3Kcyz"
236,1515329744.0,"RT @bitcoin_dad: Some lower caps im currently holding 

$FLO $BIS $IFT $MSP $MINT $TKS $PINK $DTB"
237,1515329862.0,"RT @harakim: Will be drawing 10 people for the $PHR giveaway on January 7th around 10pm PST! 25 hours to go, enter now   ?? https://t.co/Ws…"
238,1515329904.0,This sh$t just got real... https://t.co/J3ShNfdT8E
239,1515329917.0,"$ZEC target for the last time.

1 ZEC = 2 BTC."
240,1515330002.0,The NYSE is looking to list a risky leveraged ETF which doubles the return of bitcoin https://t.co/ZBKx2NgSU2 https://t.co/WAiwzc47C3
241,1515330024.0,"After much analysis, the coin I am most bullish about for 2018 may, in fact, be $ZEC. Korea is showing interest now… https://t.co/wUPNT4lVvy"
242,1515330300.0,"I mean, folks. LOOK AT THIS. ?? $ZEC https://t.co/Gt86QLHl6F"
243,1515330592.0,"I’ve concluded that if we’re going to have a bubble in crypto, it needs to be 5-10x bigger than what it is today, i… https://t.co/DuShpvgNXy"
244,1515330810.0,Please be careful and remember to panic sell your good alt positions because #tradingislife
245,1515331028.0,"$ZEC new all time high!!
#ZCash https://t.co/wcwAVGcgaY"
246,1515331111.0,#Altcoins https://t.co/SWT17NbMDB
247,1515331198.0,Couldn't help but notice @CryptoHornHairs has been absolutely killing it. Literally the best account to follow on crypto twitter right now.
248,1515331554.0,Troll so hard you end up trolling yourself.
249,1515332240.0,"Even Cryptopia is overloaded and stopped new members signing up currently. 

KuCoin is still accepting sign ups so… https://t.co/a8xi2QuOxn"
250,1515332269.0,"I was mentioned on my favorite youtube crypto channel.

Subscribe to @bennydoda01! Great info.… https://t.co/KagdBeHct8"
251,1515332283.0,"RT @JZAK07: @OBB_333 ""You got lucky."""
252,1515332340.0,RT @ugonduaguba: Pleasure to meet @DiaryofaMadeMan @WolfOfPoloniex for dinner in Pattaya
253,1515332353.0,"RT @NasdaqCrypto: ""To the moon"" cheers with @DiaryofaMadeMan  @WolfOfPoloniex and friends https://t.co/Ujs5UFreWO"
254,1515332378.0,"Currently my 3 biggest #Masternode coin bags 

$MUE 
$INN 
$BLOCK"
255,1515332443.0,RT @EthereumNetw: An Ethereum (ETH) Based World https://t.co/JzD0cW8a4r
256,1515333133.0,"RT @cryptaltd: @LegendOfCrypto My biggest MN coin bags (in descending order):

$SMART
$XZC
$MUE
$STARS
$ITZ
$MEME"
257,1515334212.0,Confirmed bullish. https://t.co/cXq922PnsE
258,1515334213.0,$LEND https://t.co/ALkV6I4VVH
259,1515334225.0,A Milli a day keeps the doctor away
260,1515334388.0,@CryptoBully Target????
261,1515334778.0,"Wow we're already at $5 

$DRGN https://t.co/g2liOS10Vc"
262,1515335144.0,"Top 5 $crypto bags by Marketcap:

$ZRX $679,282,687 USD 
$BAT $751,466,000 USD 
$DCR $766,915,392 USD 
$ZEC $2,639,… https://t.co/NFgLLkwy60"
263,1515335329.0,"RT @harakim: WARNING: @MercatoxCom has been holding my $XRB deposit since December 15th, 2017! They moved it into their @raiblocks account…"
264,1515335718.0,$ZCL is UNSTOPPABLE.
265,1515335756.0,RT @itswarrenbuffet: Sometime you have to unfollow people in real life
266,1515335821.0,Shall I put up a tip jar now? (30 min poll)
267,1515335969.0,Still not too late.
268,1515335980.0,Shall I remove DADI ref link?
269,1515336364.0,"? ? ?  ?
?   ???
    ?   ???
   ?   ?? ?
  ?  ???
?   ?? ?
?   ?     ?
howdy. i'm the sheriff of $DRGN"
270,1515336372.0,Rofl!!!! https://t.co/W8DmIokwR4
271,1515336430.0,If not serious about selling coins don’t dm.
272,1515336452.0,Going to frame this!!! https://t.co/D87PWzCck5
273,1515336518.0,$ZCL could easily pull another 50%-100% by TOMORROW.
274,1515338102.0,nobody is letting $ZEC go cheap. The smart ones are buying :) https://t.co/ju2i18BMtH
275,1515339647.0,"I have become an advisor to bezop.io. I recommended them recently and, as an early investor in their ICO, I want to… https://t.co/pOuvs8uW6g"
276,1515340332.0,can relate https://t.co/b5FA3gtlNT
277,1515340343.0,"I’ve actually recommended this to friends of mine. Shitcoins will be pumped (their only reason for existence), so w… https://t.co/IC2qqkUerW"
